title,Average rating
National Lampoon's Bag Boy (2007),5.0
Penn & Teller Get Killed (1989),5.0
Zeitgeist: Moving Forward (2011),5.0
English Vinglish (2012),5.0
Bill Hicks: Revelations (1993),5.0
Adam's Rib (1949),5.0
Reform School Girls (1986),5.0
Mother Night (1996),5.0
Shogun Assassin (1980),5.0
'Salem's Lot (2004),5.0
George Carlin: You Are All Diseased (1999),5.0
Tickling Giants (2017),5.0
"Awfully Big Adventure, An (1995)",5.0
Villain (1971),5.0
Step Up (2006),5.0
Chinese Puzzle (Casse-tête chinois) (2013),5.0
Winnie the Pooh and the Day of Concern (1972),5.0
Radio Day (2008),5.0
Broadway Danny Rose (1984),5.0
Stuart Little 3: Call of the Wild (2005),5.0
Tom Segura: Mostly Stories (2016),5.0
"In the blue sea, in the white foam. (1984)",5.0
Deathtrap (1982),5.0
Troll 2 (1990),5.0
"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",5.0
Vacations in Prostokvashino (1980),5.0
"Human Condition III, The (Ningen no joken III) (1961)",5.0
Black Mirror,5.0
Goodbye Charlie (1964),5.0
Heidi Fleiss: Hollywood Madam (1995),5.0
"Anniversary Party, The (2001)",5.0
Connections (1978),5.0
Cosmic Scrat-tastrophe (2015),5.0
Sonatine (Sonachine) (1993),5.0
Death Note: Desu nôto (2006–2007),5.0
"Hush... Hush, Sweet Charlotte (1964)",5.0
Bitter Lake (2015),5.0
A Perfect Day (2015),5.0
Winnie the Pooh Goes Visiting (1971),5.0
Alesha Popovich and Tugarin the Dragon (2004),5.0
Last Tango in Paris (Ultimo tango a Parigi) (1972),5.0
Stitch! The Movie (2003),5.0
Monsieur Lazhar (2011),5.0
"Promise, The (La promesse) (1996)",5.0
"Valet, The (La doublure) (2006)",5.0
Return to Treasure Island (1988),5.0
Scooby-Doo! Abracadabra-Doo (2010),5.0
Raise Your Voice (2004),5.0
Lassie (1994),5.0
"Five Senses, The (1999)",5.0
Richard Pryor Live on the Sunset Strip (1982),5.0
Dylan Moran: Monster (2004),5.0
12 Angry Men (1997),5.0
"Center of the World, The (2001)",5.0
Hard Core Logo (1996),5.0
Light Years (Gandahar) (1988),5.0
Priklyucheniya Kapitana Vrungelya (1979),5.0
Lamerica (1994),5.0
What Men Talk About (2010),5.0
Machete Kills (Machete 2) (2013),5.0
Lesson Faust (1994),5.0
Down Argentine Way (1940),5.0
"Four Seasons, The (1981)",5.0
What Ever Happened to Baby Jane? (1962),5.0
"Taking of Pelham One Two Three, The (1974)",5.0
American Made (2017),5.0
"Nine Lives of Tomas Katz, The (2000)",5.0
George Carlin: Jammin' in New York (1992),5.0
Siam Sunset (1999),5.0
"Last Days of Disco, The (1998)",5.0
Guy X (2005),5.0
"Sword of Doom, The (Dai-bosatsu tôge) (1966)",5.0
Control (2007),5.0
What Love Is (2007),5.0
Watching the Detectives (2007),5.0
Anne Frank Remembered (1995),5.0
Love and Pigeons (1985),5.0
A Flintstones Christmas Carol (1994),5.0
Tenchi Muyô! In Love (1996),5.0
Mr. Peabody & Sherman (2014),5.0
"Lavender Hill Mob, The (1951)",5.0
Max Manus (2008),5.0
"Man and a Woman, A (Un homme et une femme) (1966)",5.0
The Jinx: The Life and Deaths of Robert Durst (2015),5.0
"Decalogue, The (Dekalog) (1989)",5.0
Three from Prostokvashino (1978),5.0
Tales of Manhattan (1942),5.0
Formula of Love (1984),5.0
Eddie Izzard: Dress to Kill (1999),5.0
"Room, The (2003)",5.0
Tea with Mussolini (1999),5.0
Particle Fever (2013),5.0
Hellbenders (2012),5.0
Matewan (1987),5.0
Children of the Corn IV: The Gathering (1996),5.0
"Story of Women (Affaire de femmes, Une) (1988)",5.0
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),5.0
Mr. Skeffington (1944),5.0
Dune (2000),5.0
Perfect Blue (1997),5.0
What We Do in the Shadows (2014),5.0
Front of the Class (2008),5.0
Where the Money Is (2000),5.0
"Summer's Tale, A (Conte d'été) (1996)",5.0
Nasu: Summer in Andalusia (2003),5.0
"Newton Boys, The (1998)",5.0
On the Ropes (1999),5.0
The Man from Nowhere (2010),5.0
World of Glory (1991),5.0
The Adventures of Sherlock Holmes and Doctor Watson,5.0
Come and See (Idi i smotri) (1985),5.0
The Godfather Trilogy: 1972-1990 (1992),5.0
"Passenger, The (Professione: reporter) (1975)",5.0
Happy Feet Two (2011),5.0
Oscar (1967),5.0
Song of the Little Road (Pather Panchali) (1955),5.0
Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001),5.0
A Plasticine Crow (1981),5.0
Shall We Dance (1937),5.0
Blue Planet II (2017),5.0
Sherlock Holmes and Dr. Watson: Acquaintance (1979),5.0
SORI: Voice from the Heart (2016),5.0
12 Chairs (1976),5.0
Scooby-Doo! and the Loch Ness Monster (2004),5.0
Oklahoma! (1955),5.0
SubUrbia (1997),5.0
Europa Europa (Hitlerjunge Salomon) (1990),5.0
Palindromes (2004),5.0
Harlan County U.S.A. (1976),5.0
Watermark (2014),5.0
Little Murders (1971),5.0
"Cottage, The (2008)",5.0
Saw (2003),5.0
Enter the Void (2009),5.0
There Once Was a Dog (1982),5.0
L.I.E. (2001),5.0
Scooby-Doo! and the Samurai Sword (2009),5.0
De platte jungle (1978),5.0
Marat/Sade (1966),5.0
The Eye: Infinity (2005),5.0
Spellbound (2011),5.0
When Worlds Collide (1951),5.0
"Bright Lights, Big City (1988)",5.0
Lumberjack Man (2015),5.0
Ice Age: The Great Egg-Scapade (2016),5.0
Open Hearts (Elsker dig for evigt) (2002),5.0
Antonia's Line (Antonia) (1995),5.0
"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",5.0
Sun Alley (Sonnenallee) (1999),5.0
"Searchers, The (1956)",5.0
Alien Contamination (1980),5.0
Scooby-Doo! Curse of the Lake Monster (2010),5.0
Craig Ferguson: I'm Here To Help (2013),5.0
Cheburashka (1971),5.0
Obsession (1965),5.0
Barfly (1987),5.0
Strictly Sexual (2008),5.0
Loving Vincent (2017),5.0
Ooops! Noah is Gone... (2015),5.0
Deliver Us from Evil (2006),5.0
L.A. Slasher (2015),5.0
Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962),5.0
George Carlin: Life Is Worth Losing (2005),5.0
Buzzard (2015),5.0
"Perfect Candidate, A (1996)",5.0
The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979),5.0
Winter in Prostokvashino (1984),5.0
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976),5.0
What Happened Was... (1994),5.0
"Chump at Oxford, A (1940)",5.0
"Going Places (Valseuses, Les) (1974)",5.0
Impromptu (1991),5.0
Jane Eyre (1944),5.0
Akira Kurosawa's Dreams (Dreams) (1990),5.0
On the Other Side of the Tracks (De l'autre côté du périph) (2012),5.0
Tom and Jerry: A Nutcracker Tale (2007),5.0
Filth (2013),5.0
Tom and Jerry: Shiver Me Whiskers (2006),5.0
Bobik Visiting Barbos (1977),5.0
"Woman Under the Influence, A (1974)",5.0
Che: Part Two (2008),5.0
"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",5.0
"Garden of Words, The (Koto no ha no niwa) (2013)",5.0
Bossa Nova (2000),5.0
Ponette (1996),5.0
"Mystery of the Third Planet, The (Tayna tretey planety) (1981)",5.0
The Editor (2015),5.0
"Cruel Romance, A (Zhestokij Romans) (1984)",5.0
The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra (1983),5.0
Winnie Pooh (1969),5.0
First Daughter (2004),5.0
My Love (2006),5.0
On the Trail of the Bremen Town Musicians (1973),5.0
"Assignment, The (1997)",5.0
George Carlin: It's Bad for Ya! (2008),5.0
"Snowflake, the White Gorilla (2011)",5.0
"Great Outdoors, The (1988)",5.0
Asterix and the Vikings (Astérix et les Vikings) (2006),5.0
The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),5.0
Cosmos,5.0
"Breed, The (2006)",5.0
Seems Like Old Times (1980),5.0
Vovka in the Kingdom of Far Far Away (1965),5.0
Boy Eats Girl (2005),5.0
Get Low (2009),5.0
The Fox and the Hound 2 (2006),5.0
Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),5.0
"Calcium Kid, The (2004)",5.0
Human (2015),5.0
Alice Doesn't Live Here Anymore (1974),5.0
All Yours (2016),5.0
Babes in Toyland (1934),5.0
Entertaining Angels: The Dorothy Day Story (1996),5.0
Bloodsucking Bastards (2015),5.0
Empties (2007),5.0
Advise and Consent (1962),5.0
The Blue Planet (2001),5.0
Mickey's Once Upon a Christmas (1999),5.0
"Son of the Bride (Hijo de la novia, El) (2001)",5.0
Junior and Karlson (1968),5.0
"Cruise, The (1998)",5.0
Garfield's Pet Force (2009),5.0
Wow! A Talking Fish! (1983),5.0
Rivers and Tides (2001),5.0
Android (1982),5.0
Galaxy of Terror (Quest) (1981),5.0
"Purge: Anarchy, The (2014)",5.0
Willy/Milly (1986),5.0
Silkwood (1983),5.0
My Sassy Girl (Yeopgijeogin geunyeo) (2001),5.0
The Bremen Town Musicians (1969),5.0
Continental Divide (1981),5.0
Go for Zucker! (Alles auf Zucker!) (2004),5.0
"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",5.0
Death Race 2000 (1975),5.0
Black Dynamite (2009),5.0
Brigadoon (1954),5.0
A Silent Voice (2016),5.0
Presto (2008),5.0
"Stand, The (1994)",5.0
My Life (1993),5.0
"Family, The (2013)",5.0
The Love Bug (1997),5.0
Sudden Impact (1983),5.0
My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),5.0
Last Year's Snow Was Falling (1983),5.0
I Am Trying to Break Your Heart (2002),5.0
Big Top Scooby-Doo! (2012),5.0
Madame Sousatzka (1988),5.0
When the Cat's Away (Chacun cherche son chat) (1996),5.0
Always (1989),5.0
Dragons: Gift of the Night Fury (2011),5.0
"Awful Truth, The (1937)",5.0
Meantime (1984),5.0
I'm the One That I Want (2000),5.0
The Girls (1961),5.0
Hannibal Rising (2007),5.0
True Stories (1986),5.0
Saving Santa (2013),5.0
"Very Potter Sequel, A (2010)",5.0
Beautiful People (1999),5.0
Runaway Brain (1995),5.0
Fugitives (1986),5.0
Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),5.0
Hollywood Chainsaw Hookers (1988),5.0
Intact (Intacto) (2001),5.0
Hunting Elephants (2013),5.0
All Good Things (2010),5.0
Take the Lead (2006),5.0
Paddington 2 (2017),5.0
"Stunt Man, The (1980)",5.0
"Incredibly True Adventure of Two Girls in Love, The (1995)",5.0
They Call Me Trinity (1971),5.0
"Fantastic Fear of Everything, A (2012)",5.0
Yi Yi (2000),5.0
Sisters (Syostry) (2001),5.0
La Cérémonie (1995),5.0
"I, the Jury (1982)",5.0
Brother (Brat) (1997),5.0
Glory Road (2006),5.0
PK (2014),5.0
Hollywood Shuffle (1987),5.0
"Chorus Line, A (1985)",5.0
Mutant Aliens (2001),5.0
Miss Nobody (2010),5.0
Deathgasm (2015),5.0
Divorce - Italian Style (Divorzio all'italiana) (1961),5.0
Battle For Sevastopol (2015),5.0
Trinity and Sartana Are Coming (1972),5.0
Travels of an Ant (1983),5.0
Tom Segura: Completely Normal (2014),5.0
"Wings, Legs and Tails (1986)",5.0
"Ugly Duckling and Me!, The (2006)",5.0
Gena the Crocodile (1969),5.0
Control Room (2004),5.0
Girls About Town (1931),5.0
Unicorn City (2012),5.0
My Life as McDull (Mak dau goo si) (2001),5.0
Panic (2000),5.0
Mephisto (1981),5.0
Scooby-Doo Goes Hollywood (1979),5.0
Jump In! (2007),5.0
Investigation Held by Kolobki (1986),5.0
Idiots and Angels (2008),5.0
Moscow Does Not Believe in Tears (Moskva slezam ne verit) (1979),5.0
Play Time (a.k.a. Playtime) (1967),5.0
Beloved (1998),5.0
Karlson Returns (1970),5.0
Inherit the Wind (1960),5.0
Che: Part One (2008),5.0
Ghost Graduation (2012),5.0
"Trip to Bountiful, The (1985)",5.0
George Carlin: Back in Town (1996),5.0
Trees Lounge (1996),5.0
My Man Godfrey (1957),5.0
Jane Eyre (1996),5.0
Joe Versus the Volcano (1990),5.0
"Big Sleep, The (1946)",4.916666666666667
Autumn Sonata (Höstsonaten) (1978),4.833333333333333
